,index,date,content,renderedContent,hashtags,likeCount,location
10,10,2020-03-31 16:05:15+00:00,Still struggling to get in your #WFH routine? Here’s some tips that might help! ☺️ https://t.co/iUnCRtX5NV,Still struggling to get in your #WFH routine? Here’s some tips that might help! ☺️ buzzfeed.com/kaylaboyd/tips…,"('WFH',)",1,New York
11,11,2020-03-31 15:06:09+00:00,Teleworking tip of the day: try pooping while on a conference call NOT on mute. It’s liberating and even funnier if you get called out. #Quarantine #WFH #COVID19 #TuesdayThoughts,Teleworking tip of the day: try pooping while on a conference call NOT on mute. It’s liberating and even funnier if you get called out. #Quarantine #WFH #COVID19 #TuesdayThoughts,"('Quarantine', 'WFH', 'COVID19', 'TuesdayThoughts')",5,New York
12,12,2020-03-31 15:03:01+00:00,Untold effects of the #COVID19 pandemic: Imagine being told to #ShelterInPlace &amp; it’s where your abuser lives &amp; now #WFH. Where would they go? What options are available to them &amp; what about the kids? I shudder at the thought of these survivors/victims undergoing abuse &amp; trauma. https://t.co/y2mlngPC8Z,Untold effects of the #COVID19 pandemic: Imagine being told to #ShelterInPlace &amp; it’s where your abuser lives &amp; now #WFH. Where would they go? What options are available to them &amp; what about the kids? I shudder at the thought of these survivors/victims undergoing abuse &amp; trauma. twitter.com/BernieSanders/…,"('COVID19', 'ShelterInPlace', 'WFH')",0,New York
13,13,2020-03-31 14:59:53+00:00,"Today’s morning of #wfh literature reading is brought to your by my new sponsors: keurig with the largest volume of coffee that will fit in my cup and @_upgradefm, @imyke and @jsnell. As always, thanks to our sponsors. https://t.co/kB18FrVCMj","Today’s morning of #wfh literature reading is brought to your by my new sponsors: keurig with the largest volume of coffee that will fit in my cup and @_upgradefm, @imyke and @jsnell. As always, thanks to our sponsors. https://t.co/kB18FrVCMj","('wfh',)",2,New York
14,14,2020-03-31 14:24:22+00:00,"Early morning stroll in the park before work #WFH a gray, chilly, dank day with flashes of spring color, fitting for the last day of March. It’s been a dreadful month and we’ll all be happy to be rid of it. https://t.co/an3FULyouO","Early morning stroll in the park before work #WFH a gray, chilly, dank day with flashes of spring color, fitting for the last day of March. It’s been a dreadful month and we’ll all be happy to be rid of it. https://t.co/an3FULyouO","('WFH',)",17,New York
15,15,2020-03-31 13:27:21+00:00,"First day of @bluebottleroast pour over self training. This morning ritual is gonna keep me sane while #wfh

Pour over kit, @fellowproducts electric kettle, beta blend #bluebottle beans, @harionetshop scale/timer.… https://t.co/jsToPUeuAZ","First day of @bluebottleroast pour over self training. This morning ritual is gonna keep me sane while #wfh

Pour over kit, @fellowproducts electric kettle, beta blend #bluebottle beans, @harionetshop scale/timer.… instagram.com/p/B-ZlCD8Fm2Z/…","('wfh', 'bluebottle')",0,New York
16,16,2020-03-31 13:23:06+00:00,"First day of @bluebottleroast pour over self training. This morning ritual is gonna keep me sane while #wfh

Pour over kit, @fellowproducts electric kettle, beta blend #bluebottle beans, @harionetshop scale/timer.… https://t.co/4mrGu9KiV6","First day of @bluebottleroast pour over self training. This morning ritual is gonna keep me sane while #wfh

Pour over kit, @fellowproducts electric kettle, beta blend #bluebottle beans, @harionetshop scale/timer.… instagram.com/p/B-Zki0IFJ0G/…","('wfh', 'bluebottle')",0,New York
17,17,2020-03-31 11:45:21+00:00,What do people have on their #wfh schedule today?,What do people have on their #wfh schedule today?,"('wfh',)",4,New York
18,18,2020-03-31 05:19:51+00:00,"New blog post dropping tomorrow. #wfh 

https://t.co/A7yC3WzVv7 https://t.co/XH3fAkKHGN","New blog post dropping tomorrow. #wfh 

domnthecity.com https://t.co/XH3fAkKHGN","('wfh',)",3,New York
19,19,2020-03-31 04:29:27+00:00,#wfh day ??! tigerkingnetflix graph (mattsurelee) that now defines sanity from insanity #whatthewhat #waitdidijustwatchthat #socialdistancing2020 #netflixseries #tigerking #omg #whereismymind 🤦🏻‍♀️🐅👑🍻 @ America! https://t.co/bQlRyODVwv,#wfh day ??! tigerkingnetflix graph (mattsurelee) that now defines sanity from insanity #whatthewhat #waitdidijustwatchthat #socialdistancing2020 #netflixseries #tigerking #omg #whereismymind 🤦🏻‍♀️🐅👑🍻 @ America! instagram.com/p/B-YhWoqjUDh/…,"('wfh', 'whatthewhat', 'waitdidijustwatchthat', 'socialdistancing2020', 'netflixseries', 'tigerking', 'omg', 'whereismymind')",0,New York
20,20,2020-03-31 02:04:38+00:00,"How Can Body Language Impact Productivity At The Virtual Office? 
https://t.co/3Fj8Co2Cl3

#wfh #WFHTips #wfhlife #virtualmeetings #virtualoffice #SmallBusiness
#SmallBiz #Entrepreneur #startups #startup #BusinessStrategy #biztips #Workathome #workingremotely #remotework","How Can Body Language Impact Productivity At The Virtual Office? 
forbes.com/sites/jefffrom…

#wfh #WFHTips #wfhlife #virtualmeetings #virtualoffice #SmallBusiness
#SmallBiz #Entrepreneur #startups #startup #BusinessStrategy #biztips #Workathome #workingremotely #remotework","('wfh', 'WFHTips', 'wfhlife', 'virtualmeetings', 'virtualoffice', 'SmallBusiness', 'SmallBiz', 'Entrepreneur', 'startups', 'startup', 'BusinessStrategy', 'biztips', 'Workathome', 'workingremotely', 'remotework')",2,New York
21,21,2020-03-30 23:22:19+00:00,Staring to feel phantom AirPods in my ears from increased number of calls while #wfh Took a bath and was scared they were in when I dunked my head in.,Staring to feel phantom AirPods in my ears from increased number of calls while #wfh Took a bath and was scared they were in when I dunked my head in.,"('wfh',)",0,New York
22,22,2020-03-30 22:23:00+00:00,Chuck Scarborough has a fantastic library. #wfh @NBCNewYork,Chuck Scarborough has a fantastic library. #wfh @NBCNewYork,"('wfh',)",0,New York
23,23,2020-03-30 21:49:35+00:00,"🤔: What is a virtual office?

💡: https://t.co/H1h2m7c4QH

#WFH #wfhlife #WFHTips #wfhsetup #wfh2020 #virtualoffice #smallbiz #smallbusiness #startups #entrepreneur #NYC #workfromanywhere #smallbizuk #startuplife #entrepreneurship #growthhacking #businessgrowth #digitalnomad https://t.co/uHy8rJYXOH","🤔: What is a virtual office?

💡: virtualnycoffice.com/what-is-a-virt…

#WFH #wfhlife #WFHTips #wfhsetup #wfh2020 #virtualoffice #smallbiz #smallbusiness #startups #entrepreneur #NYC #workfromanywhere #smallbizuk #startuplife #entrepreneurship #growthhacking #businessgrowth #digitalnomad https://t.co/uHy8rJYXOH","('WFH', 'wfhlife', 'WFHTips', 'wfhsetup', 'wfh2020', 'virtualoffice', 'smallbiz', 'smallbusiness', 'startups', 'entrepreneur', 'NYC', 'workfromanywhere', 'smallbizuk', 'startuplife', 'entrepreneurship', 'growthhacking', 'businessgrowth', 'digitalnomad')",4,New York
24,24,2020-03-30 21:13:14+00:00,"Even though I’m #WFH, I’m locked in the guest room/home office all dang day. When I’m done and come out to the living room, these two knuckleheads act like I’ve been gone all day. 

And I just love it. https://t.co/WKu23NBx1E","Even though I’m #WFH, I’m locked in the guest room/home office all dang day. When I’m done and come out to the living room, these two knuckleheads act like I’ve been gone all day. 

And I just love it. https://t.co/WKu23NBx1E","('WFH',)",11,New York
25,25,2020-03-30 19:55:59+00:00,"That face when you’re told you have to work from home for 2 more weeks... and miss traveling! #wfh #stayhome #dogsofinstagram #dalmatian #thisbudsforyou #oneteam @ Manhattan, New York https://t.co/E0ntCSzkCV","That face when you’re told you have to work from home for 2 more weeks... and miss traveling! #wfh #stayhome #dogsofinstagram #dalmatian #thisbudsforyou #oneteam @ Manhattan, New York instagram.com/p/B-XstwaAfGxa…","('wfh', 'stayhome', 'dogsofinstagram', 'dalmatian', 'thisbudsforyou', 'oneteam')",1,New York
26,26,2020-03-30 18:54:40+00:00,"#WFH day ¿. After my last one died post-defense in SC, I’ve made it almost 2 years without a coffee maker at home. #quarantineNYC officially broke that. Someone send K-cups. #caffinateme #coffee #keurig @ New York,… https://t.co/ncAw7V1v23","#WFH day ¿. After my last one died post-defense in SC, I’ve made it almost 2 years without a coffee maker at home. #quarantineNYC officially broke that. Someone send K-cups. #caffinateme #coffee #keurig @ New York,… instagram.com/p/B-XlsqiHXEZ/…","('WFH', 'quarantineNYC', 'caffinateme', 'coffee', 'keurig')",0,New York
27,27,2020-03-30 18:24:56+00:00,"A virtual office without breaking the bank: 
https://t.co/ndCMIhIqBJ

#virtualoffice #smallbiz #startup #smallbusiness #startups #entrepreneur #workfromanywhere #workfromhome #startuplife #entrepreneurship #growthhacking  #WFH #wfhlife #wfhsetup #WorkingFromHomeLife https://t.co/5ttMyECLM6","A virtual office without breaking the bank: 
myNYCoffice.com

#virtualoffice #smallbiz #startup #smallbusiness #startups #entrepreneur #workfromanywhere #workfromhome #startuplife #entrepreneurship #growthhacking  #WFH #wfhlife #wfhsetup #WorkingFromHomeLife https://t.co/5ttMyECLM6","('virtualoffice', 'smallbiz', 'startup', 'smallbusiness', 'startups', 'entrepreneur', 'workfromanywhere', 'workfromhome', 'startuplife', 'entrepreneurship', 'growthhacking', 'WFH', 'wfhlife', 'wfhsetup', 'WorkingFromHomeLife')",1,New York
28,28,2020-03-30 18:12:01+00:00,"My friend said my #wfh is very ‘middles ages, good luck during the black plague’ vibes https://t.co/gOaJhw3eTU","My friend said my #wfh is very ‘middles ages, good luck during the black plague’ vibes https://t.co/gOaJhw3eTU","('wfh',)",2,New York
29,29,2020-03-30 17:42:27+00:00,#Doge has been slacking #WFH https://t.co/XvVeYbrDah,#Doge has been slacking #WFH https://t.co/XvVeYbrDah,"('Doge', 'WFH')",1,New York
30,30,2020-03-30 17:40:26+00:00,Live from San Quentin felt appropriate for #lockdown #wfh music https://t.co/6ezXVEsyhF,Live from San Quentin felt appropriate for #lockdown #wfh music https://t.co/6ezXVEsyhF,"('lockdown', 'wfh')",0,New York
31,31,2020-03-30 17:38:43+00:00,Go Claudia!! #WFH Diaries: Claudia Marks of Getty Images https://t.co/5yd4kSMdtU,Go Claudia!! #WFH Diaries: Claudia Marks of Getty Images musebycl.io/worklife/wfh-d…,"('WFH',)",0,New York
32,32,2020-03-30 17:30:18+00:00,"A home office, right next to the wine rack - this is what we call #workfromhome goals! #wfh #homelister @ New York, New York https://t.co/dZpmbZ74gW","A home office, right next to the wine rack - this is what we call #workfromhome goals! #wfh #homelister @ New York, New York instagram.com/p/B-XcCoGhIZf/…","('workfromhome', 'wfh', 'homelister')",1,New York
33,33,2020-03-30 15:28:42+00:00,Also add an opera singer practicing ro my list of neighbors #wfh (Wish I were making this up),Also add an opera singer practicing ro my list of neighbors #wfh (Wish I were making this up),"('wfh',)",1,New York
34,34,2020-03-30 14:02:21+00:00,"wfh be like..

#wfh #goodmorning #monday https://t.co/kXQ59wSMZj","wfh be like..

#wfh #goodmorning #monday https://t.co/kXQ59wSMZj","('wfh', 'goodmorning', 'monday')",1,New York
35,35,2020-03-30 13:07:17+00:00,It’s the start of Week three on #WFH and all I can think about are my dead office plants that I couldn’t bring home. 😞😩😭 #plantsmakepeoplehappy,It’s the start of Week three on #WFH and all I can think about are my dead office plants that I couldn’t bring home. 😞😩😭 #plantsmakepeoplehappy,"('WFH', 'plantsmakepeoplehappy')",1,New York
36,36,2020-03-30 12:54:02+00:00,How do you adapt your IT infrastructure for #remote workforce? IBM #CIO @fletcherprevin will share practical advice for #WFH companies. Join the Think Leadership Livestream on 3/31 at 1pm ET: https://t.co/ov4E8qa25m,How do you adapt your IT infrastructure for #remote workforce? IBM #CIO @fletcherprevin will share practical advice for #WFH companies. Join the Think Leadership Livestream on 3/31 at 1pm ET: ibm.com/covid19,"('remote', 'CIO', 'WFH')",0,New York
37,37,2020-03-30 11:47:33+00:00,The #WFH views are beautiful this morning! https://t.co/kWgWzITUuK,The #WFH views are beautiful this morning! twitter.com/hMAG/status/12…,"('WFH',)",5,New York
38,38,2020-03-30 00:29:09+00:00,"Watched almost 12 hours of #DoctorWho nearly all of KEY OF TIME Season 16 @DoctorWho_BBCA @PlutoTV while #WFH and kicked it off early this AM with S15 finale, check out that De-Mat Gun! #TomBaker #FourthDoctor https://t.co/5VJOeBKM0s","Watched almost 12 hours of #DoctorWho nearly all of KEY OF TIME Season 16 @DoctorWho_BBCA @PlutoTV while #WFH and kicked it off early this AM with S15 finale, check out that De-Mat Gun! #TomBaker #FourthDoctor https://t.co/5VJOeBKM0s","('DoctorWho', 'WFH', 'TomBaker', 'FourthDoctor')",8,New York
39,39,2020-03-29 18:57:38+00:00,"Just one thing to add, is that I don’t want to mystify anything by appearing as if I’m all about work + productivity, and that I’m totally okay...cause that’s not true.

In fact, while I thought I was okay-ish in week 1 of #WFH, this past week was far worse.","Just one thing to add, is that I don’t want to mystify anything by appearing as if I’m all about work + productivity, and that I’m totally okay...cause that’s not true.

In fact, while I thought I was okay-ish in week 1 of #WFH, this past week was far worse.","('WFH',)",2,New York
40,40,2020-03-29 17:02:41+00:00,Being a good ally to women right now includes sending pics to your coworkers so they can see how they look on Zoom calls... #divorcelawyer #QuarantineLife #WFH #coronavirus,Being a good ally to women right now includes sending pics to your coworkers so they can see how they look on Zoom calls... #divorcelawyer #QuarantineLife #WFH #coronavirus,"('divorcelawyer', 'QuarantineLife', 'WFH', 'coronavirus')",0,New York
41,41,2020-03-29 11:22:30+00:00,"Making time for a nourishing breakfast before #wfh #oldfashionedoats  with @PenzeysSpices #cinnamon nutmeg turmeric and ginger, in a favorite, ceramic bowl, &amp; a second cup of coffee...always coffee, in a favorite mug. https://t.co/ypC9VCXwES","Making time for a nourishing breakfast before #wfh #oldfashionedoats  with @PenzeysSpices #cinnamon nutmeg turmeric and ginger, in a favorite, ceramic bowl, &amp; a second cup of coffee...always coffee, in a favorite mug. https://t.co/ypC9VCXwES","('wfh', 'oldfashionedoats', 'cinnamon')",0,New York
42,42,2020-03-28 21:56:40+00:00,"I am currently on my fifth snack since I started working today. This #WFH thing is dangerous. Oh wait, JK - I’m like this at work, too.","I am currently on my fifth snack since I started working today. This #WFH thing is dangerous. Oh wait, JK - I’m like this at work, too.","('WFH',)",1,New York
43,43,2020-03-28 21:17:31+00:00,"Working from home for the time being, and it’s weird to be away from my weekend family. There in spirit, but not in presence. (Hi, @joetorresABC7 👋🏽) #WFH https://t.co/JTIvtKp9Nq","Working from home for the time being, and it’s weird to be away from my weekend family. There in spirit, but not in presence. (Hi, @joetorresABC7 👋🏽) #WFH https://t.co/JTIvtKp9Nq","('WFH',)",10,New York
44,44,2020-03-28 20:47:27+00:00,Home Happy Hour #wfh @ Zoom Call https://t.co/XWJxtrFufX,Home Happy Hour #wfh @ Zoom Call instagram.com/p/B-So3c_HSQs/…,"('wfh',)",2,New York
45,45,2020-03-28 19:37:15+00:00,"Reporting live from the 2️⃣1️⃣2️⃣! 

Here’s a behind-the-scenes look at my #WFH setup. Watch “Listen Up” every weekday on @NBCNewYork.

Details: https://t.co/QI5wrJAm9j https://t.co/TPumbmTUbQ","Reporting live from the 2️⃣1️⃣2️⃣! 

Here’s a behind-the-scenes look at my #WFH setup. Watch “Listen Up” every weekday on @NBCNewYork.

Details: instagram.com/p/B-Sfr-HFhrs/… https://t.co/TPumbmTUbQ","('WFH',)",24,New York
46,46,2020-03-28 16:00:50+00:00,Hey ladies!  Join me on instagram live for my new #wokecloset series❗️I’ll be talking about the benefits of #wfh and the self care upside of #thenewnormal with styling tips you will L💜VE ❌⭕️ @ Hudson Yards New York https://t.co/oQXNDq1RaJ,Hey ladies!  Join me on instagram live for my new #wokecloset series❗️I’ll be talking about the benefits of #wfh and the self care upside of #thenewnormal with styling tips you will L💜VE ❌⭕️ @ Hudson Yards New York instagram.com/p/B-SHwJdgR_4/…,"('wokecloset', 'wfh', 'thenewnormal')",0,New York
47,47,2020-03-28 05:36:31+00:00,"I miss complaining about manspreading.

#coronavirus #wfh #nocommute","I miss complaining about manspreading.

#coronavirus #wfh #nocommute","('coronavirus', 'wfh', 'nocommute')",2,New York
48,48,2020-03-28 05:03:48+00:00,"#WFH has its perks, but I can’t wait to get back to the newsroom. Soon. I hope.","#WFH has its perks, but I can’t wait to get back to the newsroom. Soon. I hope.","('WFH',)",0,New York
49,49,2020-03-28 00:56:35+00:00,No one is more grateful that the work week is over than Bentley! #mynewcoworker #2weeksdown #WFH #workingfromhome #workingremotely #quarantinelife #BP #ourlittlefurbaby #DadasMistah… https://t.co/Hwk9El4wLJ,No one is more grateful that the work week is over than Bentley! #mynewcoworker #2weeksdown #WFH #workingfromhome #workingremotely #quarantinelife #BP #ourlittlefurbaby #DadasMistah… instagram.com/p/B-QguvOncSPN…,"('mynewcoworker', '2weeksdown', 'WFH', 'workingfromhome', 'workingremotely', 'quarantinelife', 'BP', 'ourlittlefurbaby', 'DadasMistah')",0,New York
50,50,2020-03-28 00:50:37+00:00,Gunna post my best #WFH Tok of the week here- MOIRA ROSE https://t.co/6Gy7H6ACdZ,Gunna post my best #WFH Tok of the week here- MOIRA ROSE https://t.co/6Gy7H6ACdZ,"('WFH',)",27,New York
51,51,2020-03-28 00:40:09+00:00,How we do #WFH @SiegelGale https://t.co/LbOIhk44hN,How we do #WFH @SiegelGale twitter.com/SiegelGale/sta…,"('WFH',)",2,New York
52,52,2020-03-27 23:04:36+00:00,"Our community cheering each other on! Yelling ""Go New York!"" #stayhome #quarantine #iheartny #wfh #upperwestside #nyc @ Central Park https://t.co/ECrF51THRn","Our community cheering each other on! Yelling ""Go New York!"" #stayhome #quarantine #iheartny #wfh #upperwestside #nyc @ Central Park instagram.com/p/B-QT3r_J-ZQ/…","('stayhome', 'quarantine', 'iheartny', 'wfh', 'upperwestside', 'nyc')",2,New York
53,53,2020-03-27 20:15:29+00:00,"I actually had a fairly productive day of work... is it happy hour? Why not; why not, indeed!
""Hiya, Lloyd... kinda slow tonight.""
#CoronaLockdown #WFH https://t.co/1neCTMn9Iz","I actually had a fairly productive day of work... is it happy hour? Why not; why not, indeed!
""Hiya, Lloyd... kinda slow tonight.""
#CoronaLockdown #WFH https://t.co/1neCTMn9Iz","('CoronaLockdown', 'WFH')",3,New York
54,54,2020-03-27 19:10:33+00:00,"From now on I shall forever be known as Stephen “sorry, I was on mute” Brown. #wfh","From now on I shall forever be known as Stephen “sorry, I was on mute” Brown. #wfh","('wfh',)",15,New York
55,55,2020-03-27 18:04:37+00:00,Air conditioner turned makeshift standing desk in an effort to not miss any much needed ☀️ during #WFH in #NYCshutdown https://t.co/cMhtTo2PrG,Air conditioner turned makeshift standing desk in an effort to not miss any much needed ☀️ during #WFH in #NYCshutdown https://t.co/cMhtTo2PrG,"('WFH', 'NYCshutdown')",10,New York
56,56,2020-03-27 17:16:42+00:00,"I’m going out. I can’t take it anymore. #iblamecoronapaleo #myshrinkhasleftthebuilding #crazytown #nyclife #wfh @ Hudson Heights, Manhattan https://t.co/g4BvxkLk8I","I’m going out. I can’t take it anymore. #iblamecoronapaleo #myshrinkhasleftthebuilding #crazytown #nyclife #wfh @ Hudson Heights, Manhattan instagram.com/p/B-PsGUVj9I3/…","('iblamecoronapaleo', 'myshrinkhasleftthebuilding', 'crazytown', 'nyclife', 'wfh')",0,New York
57,57,2020-03-27 16:54:14+00:00,"I’m sure we’re all getting a little stir crazy, but it’s so so important to #WorkFromHome if you can, #staysafe if you can’t, and look out for your neighbors! Official 🐶 of 1SP Sunny gets it 👉 #WFH https://t.co/cysbJijGI0","I’m sure we’re all getting a little stir crazy, but it’s so so important to #WorkFromHome if you can, #staysafe if you can’t, and look out for your neighbors! Official 🐶 of 1SP Sunny gets it 👉 #WFH https://t.co/cysbJijGI0","('WorkFromHome', 'staysafe', 'WFH')",1,New York
58,58,2020-03-27 15:48:27+00:00,I trimmed my beard. I put pants on. Clean shirt. Contacts. Did my hair... it’s a Friday miracle 💁🏻‍♂️ #wfh #COVID19,I trimmed my beard. I put pants on. Clean shirt. Contacts. Did my hair... it’s a Friday miracle 💁🏻‍♂️ #wfh #COVID19,"('wfh', 'COVID19')",9,New York
59,59,2020-03-27 14:24:34+00:00,I feel like I’m talking MORE to colleagues now than when they were on my same floor. It’s so interesting. #WFH,I feel like I’m talking MORE to colleagues now than when they were on my same floor. It’s so interesting. #WFH,"('WFH',)",2,New York
60,60,2020-03-27 14:15:49+00:00,Things I never thought I would realize in 2020- I don’t have enough leggings #CoronaLockdown #StayHome #WFH,Things I never thought I would realize in 2020- I don’t have enough leggings #CoronaLockdown #StayHome #WFH,"('CoronaLockdown', 'StayHome', 'WFH')",0,New York
61,61,2020-03-27 13:58:00+00:00,Best background TV for this morning? #WFH,Best background TV for this morning? #WFH,"('WFH',)",0,New York
62,62,2020-03-27 12:57:12+00:00,"Work from home 1 week today #islesdailychallenge #wfh #newyorkislanders @ Throgs Neck, New York https://t.co/TB2RAp2gmT","Work from home 1 week today #islesdailychallenge #wfh #newyorkislanders @ Throgs Neck, New York instagram.com/p/B-POZ4HnZUWL…","('islesdailychallenge', 'wfh', 'newyorkislanders')",0,New York
63,63,2020-03-27 12:46:09+00:00,"couch couture 🛋
.
today’s #wfh couture for the couch is both comfortable and stylish - we are wearing @n_Philanthropy tie-dyed pull-on #joggers and @rag_bone white long sleeve #tshirt while we munch on some delicious… https://t.co/K2vzviCopI","couch couture 🛋
.
today’s #wfh couture for the couch is both comfortable and stylish - we are wearing @n_Philanthropy tie-dyed pull-on #joggers and @rag_bone white long sleeve #tshirt while we munch on some delicious… instagram.com/p/B-PNIqDpYMZ/…","('wfh', 'joggers', 'tshirt')",2,New York
